refund_id,order_item_id,refund_amount,refund_date,refund_reason
1,144732,3.65,2026-02-12,Wrong Item
2,194491,16.1,2026-02-12,Damaged Item
3,187149,18.24,2026-02-12,Customer Error
4,9753,22.31,2026-02-12,Wrong Item
5,72758,19.89,2026-02-12,Damaged Item
6,18174,57.38,2026-02-12,Late Delivery
7,277257,254.37,2026-02-12,Late Delivery
8,302091,22.11,2026-02-12,Damaged Item
9,237757,329.89,2026-02-12,Late Delivery
10,227227,28.32,2026-02-12,Customer Error
11,215803,48.99,2026-02-12,Wrong Item
12,165435,73.21,2026-02-12,Damaged Item
13,34690,50.37,2026-02-12,Customer Error
14,286625,48.18,2026-02-12,Late Delivery
15,23683,27.89,2026-02-12,Wrong Item
16,304316,25.43,2026-02-12,Customer Error
17,97435,28.69,2026-02-12,Wrong Item
18,283395,46.87,2026-02-12,Damaged Item
19,113311,13.82,2026-02-12,Late Delivery
20,250928,47.49,2026-02-12,Customer Error
21,141792,46.95,2026-02-12,Wrong Item
22,302325,91.29,2026-02-12,Wrong Item
23,251359,3.03,2026-02-12,Late Delivery
24,258190,26.55,2026-02-12,Late Delivery
25,3567,95.48,2026-02-12,Customer Error
26,267321,156.07,2026-02-12,Wrong Item
27,119034,4.95,2026-02-12,Damaged Item
28,178367,17.76,2026-02-12,Wrong Item
29,24490,1.57,2026-02-12,Wrong Item
30,91932,276.4,2026-02-12,Wrong Item
31,53082,6.8,2026-02-12,Wrong Item
32,215263,10.24,2026-02-12,Customer Error
33,90857,10.14,2026-02-12,Damaged Item
34,154748,102.84,2026-02-12,Damaged Item
35,13669,12.08,2026-02-12,Wrong Item
36,91695,16.37,2026-02-12,Wrong Item
37,287825,20.03,2026-02-12,Late Delivery
38,25538,17.84,2026-02-12,Wrong Item
39,96730,34.79,2026-02-12,Damaged Item
40,154706,42.38,2026-02-12,Wrong Item
41,85085,18.74,2026-02-12,Wrong Item
42,153582,32.69,2026-02-12,Wrong Item
43,213935,29.63,2026-02-12,Customer Error
44,92957,45.14,2026-02-12,Damaged Item
45,115431,7.4,2026-02-12,Damaged Item
46,252700,2.45,2026-02-12,Damaged Item
47,231018,45.33,2026-02-12,Damaged Item
48,299712,62.33,2026-02-12,Late Delivery
49,237446,44.97,2026-02-12,Customer Error
50,201954,181.73,2026-02-12,Damaged Item
51,282772,12.09,2026-02-12,Damaged Item
52,241631,7.48,2026-02-12,Wrong Item
53,215028,60.3,2026-02-12,Damaged Item
54,298066,40.52,2026-02-12,Late Delivery
55,258704,17.1,2026-02-12,Wrong Item
56,261625,52.8,2026-02-12,Customer Error
57,180489,43.7,2026-02-12,Damaged Item
58,44827,5.37,2026-02-12,Customer Error
59,36739,54.02,2026-02-12,Wrong Item
60,246813,13.25,2026-02-12,Wrong Item
61,196994,29.55,2026-02-12,Customer Error
62,123323,37.28,2026-02-12,Late Delivery
63,131494,3.07,2026-02-12,Customer Error
64,286914,45.5,2026-02-12,Late Delivery
65,240034,60.43,2026-02-12,Damaged Item
66,36929,57.89,2026-02-12,Late Delivery
67,303064,3.41,2026-02-12,Customer Error
68,24068,139.42,2026-02-12,Customer Error
69,121363,65.31,2026-02-12,Late Delivery
70,155369,20.42,2026-02-12,Late Delivery
71,212933,4.75,2026-02-12,Damaged Item
72,155031,20.04,2026-02-12,Late Delivery
73,290001,12.14,2026-02-12,Customer Error
74,253890,33.9,2026-02-12,Damaged Item
75,257682,20.71,2026-02-12,Wrong Item
76,68398,46.15,2026-02-12,Late Delivery
77,289835,13.86,2026-02-12,Customer Error
78,68595,69.45,2026-02-12,Late Delivery
79,163572,40.7,2026-02-12,Late Delivery
80,125078,30.01,2026-02-12,Damaged Item
81,45124,4.96,2026-02-12,Wrong Item
82,255766,0.0,2026-02-12,Customer Error
83,153314,72.92,2026-02-12,Damaged Item
84,187619,7.22,2026-02-12,Wrong Item
85,298950,78.37,2026-02-12,Customer Error
86,115545,18.77,2026-02-12,Late Delivery
87,89207,76.51,2026-02-12,Customer Error
88,126884,37.62,2026-02-12,Customer Error
89,120705,6.9,2026-02-12,Wrong Item
90,264721,19.55,2026-02-12,Customer Error
91,59712,21.2,2026-02-12,Customer Error
92,116544,69.59,2026-02-12,Wrong Item
93,260540,6.88,2026-02-12,Wrong Item
94,89739,68.63,2026-02-12,Damaged Item
95,35563,34.61,2026-02-12,Damaged Item
96,192,3.43,2026-02-12,Wrong Item
97,34379,22.86,2026-02-12,Customer Error
98,91861,33.23,2026-02-12,Damaged Item
99,116590,4.91,2026-02-12,Wrong Item
100,102669,12.19,2026-02-12,Late Delivery
101,118792,24.69,2026-02-12,Late Delivery
102,37289,20.57,2026-02-12,Wrong Item
103,209971,17.44,2026-02-12,Damaged Item
104,184203,9.09,2026-02-12,Damaged Item
105,150333,11.01,2026-02-12,Customer Error
106,158979,25.45,2026-02-12,Late Delivery
107,18662,60.92,2026-02-12,Wrong Item
108,213645,9.74,2026-02-12,Damaged Item
109,125860,172.23,2026-02-12,Customer Error
110,286038,14.32,2026-02-12,Late Delivery
111,121349,62.9,2026-02-12,Wrong Item
112,110728,34.81,2026-02-12,Late Delivery
113,290140,16.18,2026-02-12,Late Delivery
114,294560,34.52,2026-02-12,Wrong Item
115,24633,17.74,2026-02-12,Wrong Item
116,79051,12.49,2026-02-12,Damaged Item
117,75317,37.1,2026-02-12,Late Delivery
118,269422,25.08,2026-02-12,Customer Error
119,70263,11.33,2026-02-12,Customer Error
120,296238,136.75,2026-02-12,Wrong Item
121,199271,18.05,2026-02-12,Late Delivery
122,122825,52.67,2026-02-12,Damaged Item
123,193000,23.93,2026-02-12,Late Delivery
124,34388,264.57,2026-02-12,Late Delivery
125,253422,8.36,2026-02-12,Late Delivery
126,210749,15.97,2026-02-12,Wrong Item
127,166844,5.68,2026-02-12,Damaged Item
128,107267,20.35,2026-02-12,Damaged Item
129,169226,82.75,2026-02-12,Late Delivery
130,249153,55.44,2026-02-12,Late Delivery
131,77652,15.71,2026-02-12,Damaged Item
132,269590,14.71,2026-02-12,Wrong Item
133,64869,8.27,2026-02-12,Wrong Item
134,298610,9.57,2026-02-12,Customer Error
135,278993,31.77,2026-02-12,Wrong Item
136,78375,20.53,2026-02-12,Customer Error
137,193652,9.8,2026-02-12,Late Delivery
138,10757,28.59,2026-02-12,Customer Error
139,232980,153.12,2026-02-12,Customer Error
140,183280,65.95,2026-02-12,Damaged Item
141,272743,22.57,2026-02-12,Wrong Item
142,63769,5.99,2026-02-12,Damaged Item
143,29673,177.91,2026-02-12,Damaged Item
144,170766,39.53,2026-02-12,Damaged Item
145,194647,16.19,2026-02-12,Late Delivery
146,100078,2.08,2026-02-12,Customer Error
147,202655,67.04,2026-02-12,Customer Error
148,137438,13.08,2026-02-12,Customer Error
149,251859,77.11,2026-02-12,Customer Error
150,29301,23.12,2026-02-12,Customer Error
151,234049,21.77,2026-02-12,Wrong Item
152,158141,10.03,2026-02-12,Customer Error
153,94622,8.4,2026-02-12,Wrong Item
154,162410,1.04,2026-02-12,Customer Error
155,245540,29.84,2026-02-12,Damaged Item
156,209903,36.91,2026-02-12,Wrong Item
157,59960,67.58,2026-02-12,Wrong Item
158,34333,85.91,2026-02-12,Customer Error
159,254652,25.85,2026-02-12,Wrong Item
160,119407,21.46,2026-02-12,Late Delivery
161,267914,6.64,2026-02-12,Customer Error
162,58082,47.6,2026-02-12,Damaged Item
163,236508,13.44,2026-02-12,Damaged Item
164,110694,42.33,2026-02-12,Damaged Item
165,16449,5.32,2026-02-12,Damaged Item
166,19503,42.51,2026-02-12,Customer Error
167,217112,3.59,2026-02-12,Customer Error
168,88565,24.22,2026-02-12,Wrong Item
169,140120,32.73,2026-02-12,Wrong Item
170,115783,5.15,2026-02-12,Late Delivery
171,203965,73.77,2026-02-12,Damaged Item
172,189441,42.92,2026-02-12,Wrong Item
173,128567,49.19,2026-02-12,Late Delivery
174,122997,10.46,2026-02-12,Damaged Item
175,33726,24.93,2026-02-12,Damaged Item
176,176249,19.13,2026-02-12,Wrong Item
177,266832,20.69,2026-02-12,Wrong Item
178,290819,27.31,2026-02-12,Wrong Item
179,134143,16.74,2026-02-12,Damaged Item
180,289425,14.94,2026-02-12,Late Delivery
181,108664,65.59,2026-02-12,Late Delivery
182,259590,79.15,2026-02-12,Customer Error
183,161941,48.43,2026-02-12,Damaged Item
184,62442,8.09,2026-02-12,Customer Error
185,156507,5.84,2026-02-12,Wrong Item
186,241183,11.59,2026-02-12,Wrong Item
187,243291,35.68,2026-02-12,Customer Error
188,174409,61.31,2026-02-12,Customer Error
189,39464,20.53,2026-02-12,Customer Error
190,116447,2.5,2026-02-12,Customer Error
191,187575,9.08,2026-02-12,Damaged Item
192,282380,90.6,2026-02-12,Late Delivery
193,100671,18.71,2026-02-12,Wrong Item
194,241880,237.94,2026-02-12,Customer Error
195,185851,18.7,2026-02-12,Wrong Item
196,6487,14.74,2026-02-12,Customer Error
197,117611,30.14,2026-02-12,Damaged Item
198,211465,8.34,2026-02-12,Damaged Item
199,135577,6.76,2026-02-12,Late Delivery
200,10332,52.74,2026-02-12,Late Delivery
201,182989,19.53,2026-02-12,Wrong Item
202,96331,58.4,2026-02-12,Wrong Item
203,38124,20.96,2026-02-12,Late Delivery
204,233306,11.65,2026-02-12,Customer Error
205,139524,7.12,2026-02-12,Customer Error
206,73979,45.82,2026-02-12,Late Delivery
207,228793,23.32,2026-02-12,Wrong Item
208,233288,68.39,2026-02-12,Late Delivery
209,9511,33.33,2026-02-12,Damaged Item
210,12912,36.88,2026-02-12,Late Delivery
211,48664,15.36,2026-02-12,Late Delivery
212,38886,73.28,2026-02-12,Customer Error
213,28027,32.37,2026-02-12,Wrong Item
214,170719,20.25,2026-02-12,Wrong Item
215,92472,31.11,2026-02-12,Damaged Item
216,220920,1.66,2026-02-12,Customer Error
217,62374,29.98,2026-02-12,Wrong Item
218,166351,8.75,2026-02-12,Damaged Item
219,9188,11.91,2026-02-12,Customer Error
220,280967,45.17,2026-02-12,Late Delivery
221,16947,50.07,2026-02-12,Wrong Item
222,239132,47.53,2026-02-12,Late Delivery
223,37686,4.27,2026-02-12,Customer Error
224,33762,6.52,2026-02-12,Damaged Item
225,267353,23.21,2026-02-12,Customer Error
226,61614,9.31,2026-02-12,Damaged Item
227,230543,3.45,2026-02-12,Wrong Item
228,298570,9.75,2026-02-12,Late Delivery
229,49823,215.93,2026-02-12,Late Delivery
230,138702,51.31,2026-02-12,Damaged Item
231,175182,2.92,2026-02-12,Damaged Item
232,275891,46.15,2026-02-12,Customer Error
233,150808,24.13,2026-02-12,Late Delivery
234,266874,19.24,2026-02-12,Late Delivery
235,265887,8.51,2026-02-12,Wrong Item
236,241624,6.7,2026-02-12,Customer Error
237,111497,1.62,2026-02-12,Customer Error
238,207084,37.37,2026-02-12,Customer Error
239,225171,30.09,2026-02-12,Customer Error
240,299118,62.18,2026-02-12,Customer Error
241,292008,8.88,2026-02-12,Wrong Item
242,7756,66.88,2026-02-12,Damaged Item
243,213446,16.63,2026-02-12,Damaged Item
